name,description,misc,misc_description,monster_name
stench,"Any creature that starts its turn within 5 feet of the ghast must succeed on a DC 10 Constitution saving throw or be poisoned until the start of its next turn. On a successful saving throw, the creature is immune to the ghast's Stench for 24 hours.","","",Ghast
turning_defiance,"The ghast and any ghouls within 30 feet of it have advantage on saving throws against effects that turn undead.","","",Ghast
ethereal_sight,"The ghost can see 60 feet into the Ethereal Plane when it is on the Material Plane, and vice versa.","","",Ghost
incorporeal_movement,"The ghost can move through other creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object.","","",Ghost
keen_smell,"The badger has advantage on Wisdom (Perception) checks that rely on smell.","","","Giant Badger"
echolocation,"The bat can't use its blindsight while deafened.","","","Giant Bat"
keen_hearing,"The bat has advantage on Wisdom (Perception) checks that rely on hearing.","","","Giant Bat"
charge,"If the boar moves at least 20 feet straight toward a target and then hits it with a tusk attack on the same turn, the target takes an extra 7 (2d6) slashing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.","","","Giant Boar"
relentless,"If the boar takes 10 damage or less that would reduce it to 0 hit points, it is reduced to 1 hit point instead.",relentless_misc,"(Recharges after a Short or Long Rest)","Giant Boar"
amphibious,"The crab can breathe air and water.","","","Giant Crab"
hold_breath,"The crocodile can hold its breath for 30 minutes.","","","Giant Crocodile"
keen_sight,"The eagle has advantage on Wisdom (Perception) checks that rely on sight.","","","Giant Eagle"
charge,"If the elk moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) damage. If the target is a creature, it must succeed on a DC 14 Strength saving throw or be knocked prone.","","","Giant Elk"
illumination,"The beetle sheds bright light in a 10-foot radius and dim light for an additional 10 feet.","","","Giant Fire Beetle"
amphibious,"The frog can breathe air and water.","","","Giant Frog"
standing_leap,"The frog's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.","","","Giant Frog"
charge,"If the goat moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 5 (2d4) bludgeoning damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.","","","Giant Goat"
sure-footed,"The goat has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.","","","Giant Goat"
rampage,"When the hyena reduces a creature to 0 hit points with a melee attack on its turn, the hyena can take a bonus action to move up to half its speed and make a bite attack.","","","Giant Hyena"
hold_breath,"While out of water, the octopus can hold its breath for 1 hour.","","","Giant Octopus"
underwater_camouflage,"The octopus has advantage on Dexterity (Stealth) checks made while underwater. Water Breathing. The octopus can breathe only underwater.","","","Giant Octopus"
flyby,"The owl doesn't provoke opportunity attacks when it flies out of an enemy's reach.","","","Giant Owl"
keen_hearing_and_sight,"The owl has advantage on Wisdom (Perception) checks that rely on hearing or sight.","","","Giant Owl"
keen_smell,"The rat has advantage on Wisdom (Perception) checks that rely on smell.","","","Giant Rat"
pack_tactics,"The rat has advantage on an attack roll against a creature if at least one of the rat's allies is within 5 feet of the creature and the ally isn't incapacitated.","","","Giant Rat"
charge,"If the sea horse moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 7 (2d6) bludgeoning damage. It the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone.","","","Giant Sea Horse"
water_breathing,"The sea horse can breathe only underwater.","","","Giant Sea Horse"
blood_frenzy,"The shark has advantage on melee attack rolls against any creature that doesn't have all its hit points.","","","Giant Shark"
water_breathing,"The shark can breathe only underwater.","","","Giant Shark"
spider_climb,"The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.","","","Giant Spider"
web_sense,"While in contact with a web, the spider knows the exact location of any other creature in contact with the same web.","","","Giant Spider"
web_walker,"The spider ignores movement restrictions caused by webbing.","","","Giant Spider"
amphibious,"The toad can breathe air and water.","","","Giant Toad"
standing_leap,"The toad's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.","","","Giant Toad"
keen_sight_and_smell,"The vulture has advantage on Wisdom (Perception) checks that rely on sight or smell.","","","Giant Vulture"
pack_tactics,"The vulture has advantage on an attack roll against a creature if at least one of the vulture's allies is within 5 feet of the creature and the ally isn't incapacitated.","","","Giant Vulture"
keen_hearing_and_smell,"The weasel has advantage on Wisdom (Perception) checks that rely on hearing or smell.","","","Giant Weasel"
spider_climb,"The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.","","","Giant Wolf Spider"
web_sense,"While in contact with a web, the spider knows the exact location of any other creature in contact with the same web.","","","Giant Wolf Spider"
web_walker,"The spider ignores movement restrictions caused by webbing.","","","Giant Wolf Spider"
aberrant_ground,"The ground in a 10-foot radius around the mouther is doughlike difficult terrain. Each creature that starts its turn in that area must succeed on a DC 10 Strength saving throw or have its speed reduced to 0 until the start of its next turn.","","","Gibbering Mouther"
gibbering,"The mouther babbles incoherently while it can see any creature and isn't incapacitated. Each creature that starts its turn within 20 feet of the mouther and can hear the gibbering must succeed on a DC 10 Wisdom saving throw. On a failure, the creature can't take reactions until the start of its next turn and rolls a d8 to determine what it does during its turn. On a 1 to 4, the creature does nothing. On a 5 or 6, the creature takes no action or bonus action and uses all its movement to move in a randomly determined direction. On a 7 or 8, the creature makes a melee attack against a randomly determined creature within its reach or does nothing if it can't make such an attack.","","","Gibbering Mouther"
innate_spellcasting,"The glabrezu's spellcasting ability is Intelligence (spell save DC 16). The glabrezu can innately cast the following spells, requiring no material components: At will: **_darkness_**, **_detect magic_**, **_dispel magic_** 1/day each: **_confusion_**, **_fly_**, **_power word stun_**","","",Glabrezu
magic_resistance,"The glabrezu has advantage on saving throws against spells and other magical effects.","","",Glabrezu
brave,"The gladiator has advantage on saving throws against being frightened.","","",Gladiator
brute,"A melee weapon deals one extra die of its damage when the gladiator hits with it (included in the attack).","","",Gladiator
rampage,"When the gnoll reduces a creature to 0 hit points with a melee attack on its turn, the gnoll can take a bonus action to move up to half its speed and make a bite attack.","","",Gnoll
stone_camouflage,"The gnome has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.","","","Gnome, Deep (Svirfneblin)"
gnome_cunning,"The gnome has advantage on Intelligence, Wisdom, and Charisma saving throws against magic.","","","Gnome, Deep (Svirfneblin)"
innate_spellcasting,"The gnome's innate spellcasting ability is Intelligence (spell save DC 11). It can innately cast the following spells, requiring no material components: At will: **_nondetection_** (self only) 1/day each: **_blindness/deafness_**, **_blur_**, **_disguise self_**","","","Gnome, Deep (Svirfneblin)"
charge,"If the goat moves at least 20 feet straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 2 (1d4) bludgeoning damage. If the target is a creature, it must succeed on a DC 10 Strength saving throw or be knocked prone.","","",Goat
sure-footed,"The goat has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.","","",Goat
nimble_escape,"The goblin can take the Disengage or Hide action as a bonus action on each of its turns.","","",Goblin
trampling_charge,"If the gorgon moves at least 20 feet straight toward a creature and then hits it with a gore attack on the same turn, that target must succeed on a DC 16 Strength saving throw or be knocked prone. If the target is prone, the gorgon can make one attack with its hooves against it as a bonus action.","","",Gorgon
amorphous,"The ooze can move through a space as narrow as 1 inch wide without squeezing.","","","Gray Ooze"
corrode_metal,"Any nonmagical weapon made of metal that hits the ooze corrodes. After dealing damage, the weapon takes a permanent and cumulative -1 penalty to damage rolls. If its penalty drops to -5, the weapon is destroyed. Nonmagical ammunition made of metal that hits the ooze is destroyed after dealing damage. The ooze can eat through 2-inch-thick, nonmagical metal in 1 round.","","","Gray Ooze"
false_appearance,"While the ooze remains motionless, it is indistinguishable from an oily pool or wet rock.","","","Gray Ooze"
amphibious,"The dragon can breathe air and water.","","","Green Dragon Wyrmling"
amphibious,"The hag can breathe air and water.","","","Green Hag"
innate_spellcasting,"The hag's innate spellcasting ability is Charisma (spell save DC 12). She can innately cast the following spells, requiring no material components: At will: **_dancing lights_**, **_minor illusion_**, **_vicious mockery_**","","","Green Hag"
mimicry,"The hag can mimic animal sounds and humanoid voices. A creature that hears the sounds can tell they are imitations with a successful DC 14 Wisdom (Insight) check.","","","Green Hag"
stone_camouflage,"The grick has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.","","",Grick
keen_sight,"The griffon has advantage on Wisdom (Perception) checks that rely on sight.","","",Griffon
blind_senses,". The grimlock can't use its blindsight while deafened and unable to smell.","","",Grimlock
keen_hearing_and_smell,"The grimlock has advantage on Wisdom (Perception) checks that rely on hearing or smell.","","",Grimlock
stone_camouflage,"The grimlock has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.","","",Grimlock
rejuvenation,"If it dies, the naga returns to life in 1d6 days and regains all its hit points. Only a wish spell can prevent this trait from functioning.","","","Guardian Naga"
spellcasting,"The naga is an 11th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 16, +8 to hit with spell attacks), and it needs only verbal components to cast its spells. It has the following cleric spells prepared: Cantrips (at will): **_mending, sacred flame, thaumaturgy_** 1st level (4 slots): **_command, cure wounds, shield of faith_** 2nd level (3 slots): **_calm emotions, hold person_** 3rd level (3 slots): **_bestow curse, clairvoyance_** 4th level (3 slots): **_banishment, freedom of movement_** 5th level (2 slots): **_flame strike, geas_** 6th level (1 slot): **_true seeing_**","","","Guardian Naga"
inscrutable,"The sphinx is immune to any effect that would sense its emotions or read its thoughts, as well as any divination spell that it refuses. Wisdom (Insight) checks made to ascertain the sphinx's intentions or sincerity have disadvantage.","","",Gynosphinx
magic_weapons,"The sphinx's weapon attacks are magical.","","",Gynosphinx
spellcasting,"The sphinx is a 9th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 16, +8 to hit with spell attacks). It requires no material components to cast its spells. The sphinx has the following wizard spells prepared: Cantrips (at will): **_mage hand, minor illusion, prestidigitation_** 1st level (4 slots): **_detect magic, identify, shield_** 2nd level (3 slots): **_darkness, locate object, suggestion_** 3rd level (3 slots): **_dispel magic, remove curse, tongues_** 4th level (3 slots): **_banishment, greater invisibility_** 5th level (1 slot): **_legend lore_**","","",Gynosphinx
keen_sight,"The hawk has advantage on Wisdom (Perception) checks that rely on sight.","","",Hawk
keen_hearing_and_smell,"The hound has advantage on Wisdom (Perception) checks that rely on hearing or smell.","","","Hell Hound"
pack_tactics,"The hound has advantage on an attack roll against a creature if at least one of the hound's allies is within 5 feet of the creature and the ally isn't incapacitated.","","","Hell Hound"
magic_resistance,"The hezrou has advantage on saving throws against spells and other magical effects.","","",Hezrou
stench,"Any creature that starts its turn within 10 feet of the hezrou must succeed on a DC 14 Constitution saving throw or be poisoned until the start of its next turn. On a successful saving throw, the creature is immune to the hezrou's stench for 24 hours.","","",Hezrou
keen_sight,"The hippogriff has advantage on Wisdom (Perception) checks that rely on sight.","","",Hippogriff
martial_advantage,"Once per turn, the hobgoblin can deal an extra 7 (2d6) damage to a creature it hits with a weapon attack if that creature is within 5 feet of an ally of the hobgoblin that isn't incapacitated.","","",Hobgoblin
telepathic_bond,"While the homunculus is on the same plane of existence as its master, it can magically convey what it senses to its master, and the two can communicate telepathically.","","",Homunculus
"devil's_sight","Magical darkness doesn't impede the devil's darkvision.","","","Horned Devil"
magic_resistance,"The devil has advantage on saving throws against spells and other magical effects.","","","Horned Devil"
blood_frenzy,"The shark has advantage on melee attack rolls against any creature that doesn't have all its hit points.","","","Hunter Shark"
water_breathing,"The shark can breathe only underwater.","","","Hunter Shark"
hold_breath,"The hydra can hold its breath for 1 hour.","","",Hydra
multiple_heads,"The hydra has five heads. While it has more than one head, the hydra has advantage on saving throws against being blinded, charmed, deafened, frightened, stunned, and knocked unconscious. Whenever the hydra takes 25 or more damage in a single turn, one of its heads dies. If all its heads die, the hydra dies. At the end of its turn, it grows two heads for each of its heads that died since its last turn, unless it has taken fire damage since its last turn. The hydra regains 10 hit points for each head regrown in this way.","","",Hydra
reactive_heads,"For each head the hydra has beyond one, it gets an extra reaction that can be used only for opportunity attacks.","","",Hydra
wakeful,"While the hydra sleeps, at least one of its heads is awake.","","",Hydra
pack_tactics,"The hyena has advantage on an attack roll against a creature if at least one of the hyena's allies is within 5 feet of the creature and the ally isn't incapacitated.","","",Hyena
"devil's_sight","Magical darkness doesn't impede the devil's darkvision.","","","Ice Devil"
magic_resistance,"The devil has advantage on saving throws against spells and other magical effects.","","","Ice Devil"
damage_vulnerabilities,"bludgeoning, fire","","","Ice Mephit"
death_burst,"When the mephit dies, it explodes in a burst of jagged ice. Each creature within 5 feet of it must make a DC 10 Dexterity saving throw, taking 4 (1d8) slashing damage on a failed save, or half as much damage on a successful one.","","","Ice Mephit"
false_appearance,"While the mephit remains motionless, it is indistinguishable from an ordinary shard of ice.","","","Ice Mephit"
innate_spellcasting,"The mephit can innately cast **_fog cloud_**, requiring no material components. Its innate spellcasting ability is Charisma.",innate_spellcasting_misc,(1/Day),"Ice Mephit"
shapechanger,"The imp can use its action to polymorph into a beast form that resembles a rat (speed 20 ft.), a raven (20 ft., fly 60 ft.), or a spider (20 ft., climb 20 ft.), or back into its true form. Its statistics are the same in each form, except for the speed changes noted. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.","","",Imp
"devil's_sight","Magical darkness doesn't impede the imp's darkvision.","","",Imp
magic_resistance,"The imp has advantage on saving throws against spells and other magical effects.","","",Imp
invisibility,"The stalker is invisible.","","","Invisible Stalker"
faultless_tracker,"The stalker is given a quarry by its summoner. The stalker knows the direction and distance to its quarry as long as the two of them are on the same plane of existence. The stalker also knows the location of its summoner.","","","Invisible Stalker"
fire_absorption,"Whenever the golem is subjected to fire damage, it takes no damage and instead regains a number of hit points equal to the fire damage dealt.","","","Iron Golem"
immutable_form,"The golem is immune to any spell or effect that would alter its form.","","","Iron Golem"
magic_resistance,"The golem has advantage on saving throws against spells and other magical effects.","","","Iron Golem"
magic_weapons,"The golem's weapon attacks are magical.","","","Iron Golem"
keen_hearing_and_smell,"The jackal has advantage on Wisdom (Perception) checks that rely on hearing or smell.","","",Jackal
pack_tactics,"The jackal has advantage on an attack roll against a creature if at least one of the jackal's allies is within 5 feet of the creature and the ally isn't incapacitated.","","",Jackal
echolocation,"The whale can't use its blindsight while deafened.","","","Killer Whale"
hold_breath,"The whale can hold its breath for 30 minutes.","","","Killer Whale"
keen_hearing,"The whale has advantage on Wisdom (Perception) checks that rely on hearing.","","","Killer Whale"
brave,"The knight has advantage on saving throws against being frightened.","","",Knight
sunlight_sensitivity,"While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","","",Kobold
pack_tactics,"The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 feet of the creature and the ally isn't incapacitated.","","",Kobold
amphibious,"The kraken can breathe air and water.","","",Kraken
freedom_of_movement,"The kraken ignores difficult terrain, and magical effects can't reduce its speed or cause it to be restrained. It can spend 5 feet of movement to escape from nonmagical restraints or being grappled.","","",Kraken
siege_monster,"The kraken deals double damage to objects and structures.","","",Kraken
innate_spellcasting,"The lamia's innate spellcasting ability is Charisma (spell save DC 13). It can innately cast the following spells, requiring no material components. At will: **_disguise self_** (any humanoid form), **_major image_** 3/day each: **_charm person_**, **_mirror image_**, **_scrying_**, **_suggestion_** 1/day: **_geas_**","","",Lamia
"devil's_sight","Magical darkness doesn't impede the lemure's darkvision.","","",Lemure
hellish_rejuvenation,"A lemure that dies in the Nine Hells comes back to life with all its hit points in 1d10 days unless it is killed by a good-aligned creature with a bless spell cast on that creature or its remains are sprinkled with holy water.","","",Lemure
legendary_resistance,"If the lich fails a saving throw, it can choose to succeed instead.",legendary_resistance_misc,(3/Day),Lich
rejuvenation,"If it has a phylactery, a destroyed lich gains a new body in 1d10 days, regaining all its hit points and becoming active again. The new body appears within 5 feet of the phylactery.","","",Lich
spellcasting,"The lich is an 18th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 20, +12 to hit with spell attacks). The lich has the following wizard spells prepared: Cantrips (at will): **_mage hand, prestidigitation, ray of frost_** 1st level (4 slots): **_detect magic, magic missile, shield, thunderwave_**","","",Lich
turn_resistance,"The lich has advantage on saving throws against any effect that turns undead.","","",Lich
keen_smell,"The lion has advantage on Wisdom (Perception) checks that rely on smell. Pack Tactics. The lion has advantage on an attack roll against a creature if at least one of the lion's allies is within 5 feet of the creature and the ally isn't incapacitated.","","",Lion
pounce,"If the lion moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone, the lion can make one bite attack against it as a bonus action.","","",Lion
running_leap,"With a 10-foot running start, the lion can long jump up to 25 feet.","","",Lion
hold_breath,"The lizardfolk can hold its breath for 15 minutes.","","",Lizardfolk
spellcasting,"The mage is a 9th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 14, +6 to hit with spell attacks). The mage has the following wizard spells prepared: Cantrips (at will): **_fire bolt, light, mage hand, prestidigitation_** 1st level (4 slots): **_detect magic, mage armor, magic missile, shield_** 2nd level (3 slots): **_misty step, suggestion_** 3rd level (3 slots): **_counterspell, fireball, fly_** 4th level (3 slots): **_greater invisibility, ice storm_** 5th level (1 slot): **_cone of cold_**","","",Mage
damage_vulnerabilities,cold,"","","Magma Mephit"
death_burst,"When the mephit dies, it explodes in a burst of lava. Each creature within 5 feet of it must make a DC 11 Dexterity saving throw, taking 7 (2d6) fire damage on a failed save, or half as much damage on a successful one.","","","Magma Mephit"
false_appearance,"While the mephit remains motionless, it is indistinguishable from an ordinary mound of magma.","","","Magma Mephit"
innate_spellcasting,"The mephit can innately cast **_heat metal_** (spell save DC 10), requiring no material components. Its innate spellcasting ability is Charisma.",innate_spellcasting_misc,(1/Day),"Magma Mephit"
death_burst,"When the magmin dies, it explodes in a burst of fire and magma. Each creature within 10 feet of it must make a DC 11 Dexterity saving throw, taking 7 (2d6) fire damage on a failed save, or half as much damage on a successful one. Flammable objects that aren't being worn or carried in that area are ignited.","","",Magmin
ignited_illumination,"As a bonus action, the magmin can set itself ablaze or extinguish its flames. While ablaze, the magmin sheds bright light in a 10-foot radius and dim light for an additional 10 feet.","","",Magmin
trampling_charge,"If the mammoth moves at least 20 feet straight toward a creature and then hits it with a gore attack on the same turn, that target must succeed on a DC 18 Strength saving throw or be knocked prone. If the target is prone, the mammoth can make one stomp attack against it as a bonus action.","","",Mammoth
tail_spike_regrowth,"The manticore has twenty-four tail spikes. Used spikes regrow when the manticore finishes a long rest.","","",Manticore
magic_resistance,"The marilith has advantage on saving throws against spells and other magical effects.","","",Marilith
magic_weapons,"The marilith's weapon attacks are magical.","","",Marilith
reactive,"The marilith can take one reaction on every turn in a combat.","","",Marilith
keen_hearing_and_smell,"The mastiff has advantage on Wisdom (Perception) checks that rely on hearing or smell.","","",Mastiff
petrifying_gaze,"When a creature that can see the medusa's eyes starts its turn within 30 feet of the medusa, the medusa can force it to make a DC 14 Constitution saving throw if the medusa isn't incapacitated and can see the creature. If the saving throw fails by 5 or more, the creature is instantly petrified. Otherwise, a creature that fails the save begins to turn to stone and is restrained. The restrained creature must repeat the saving throw at the end of its next turn, becoming petrified on a failure or ending the effect on a success. The petrification lasts until the creature is freed by the greater restoration spell or other magic. Unless surprised, a creature can avert its eyes to avoid the saving throw at the start of its turn. If the creature does so, it can't see the medusa until the start of its next turn, when it can avert its eyes again. If the creature looks at the medusa in the meantime, it must immediately make the save. If the medusa sees itself reflected on a polished surface within 30 feet of it and in an area of bright light, the medusa is, due to its curse, affected by its own gaze.","","",Medusa
amphibious,"The merfolk can breathe air and water.","","",Merfolk
amphibious,"The merrow can breathe air and water.","","",Merrow
shapechanger,"The mimic can use its action to polymorph into an object or back into its true, amorphous form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.","","",Mimic
adhesive,"The mimic adheres to anything that touches it. A Huge or smaller creature adhered to the mimic is also grappled by it (escape DC 13). Ability checks made to escape this grapple have disadvantage.",adhesive_misc,"(Object Form Only)",Mimic
false_appearance,"While the mimic remains motionless, it is indistinguishable from an ordinary object.",false_appearance_misc,"(Object Form Only)",Mimic
grappler,"The mimic has advantage on attack rolls against any creature grappled by it.","","",Mimic
charge,"If the minotaur moves at least 10 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 9 (2d8) piercing damage. If the target is a creature, it must succeed on a DC 14 Strength saving throw or be pushed up to 10 feet away and knocked prone.","","",Minotaur
labyrinthine_recall,"The minotaur can perfectly recall any path it has traveled.","","",Minotaur
reckless,"At the start of its turn, the minotaur can gain advantage on all melee weapon attack rolls it makes during that turn, but attack rolls against it have advantage until the start of its next turn.","","",Minotaur
damage_vulnerabilities,bludgeoning,"","","Minotaur Skeleton"
charge,"If the skeleton moves at least 10 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 9 (2d8) piercing damage. If the target is a creature, it must succeed on a DC 14 Strength saving throw or be pushed up to 10 feet away and knocked prone.","","","Minotaur Skeleton"
beast_of_burden,"The mule is considered to be a Large animal for the purpose of determining its carrying capacity.","","",Mule
sure-footed,"The mule has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.","","",Mule
damage_vulnerabilities,fire,"","",Mummy
damage_vulnerabilities,fire,"","","Mummy Lord"
magic_resistance,"The mummy lord has advantage on saving throws against spells and other magical effects.","","","Mummy Lord"
rejuvenation,"A destroyed mummy lord gains a new body in 24 hours if its heart is intact, regaining all its hit points and becoming active again. The new body appears within 5 feet of the mummy lord's heart.","","","Mummy Lord"
spellcasting,"The mummy lord is a 10th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 17, +9 to hit with spell attacks). The mummy lord has the following cleric spells prepared: Cantrips (at will): **_sacred flame, thaumaturgy_** 1st level (4 slots): **_command, guiding bolt, shield of faith_** 2nd level (3 slots): **_hold person, silence, spiritual weapon_** 3rd level (3 slots): **_animate dead, dispel magic_** 4th level (3 slots): **_divination, guardian of faith_** 5th level (2 slots): **_contagion, insect plague_** 6th level (1 slot): **_harm_**","","","Mummy Lord"
magic_resistance,"The nalfeshnee has advantage on saving throws against spells and other magical effects.","","",Nalfeshnee
innate_spellcasting,"The hag's innate spellcasting ability is Charisma (spell save DC 14, +6 to hit with spell attacks). She can innately cast the following spells, requiring no material components: At will: **_detect magic_**, **_magic missile_** 2/day each: **_plane shift_** (self only), **_ray of enfeeblement_**, **_sleep_**","","","Night Hag"
magic_resistance,"The hag has advantage on saving throws against spells and other magical effects.","","","Night Hag"
confer_fire_resistance,"The nightmare can grant resistance to fire damage to anyone riding it.","","",Nightmare
illumination,"The nightmare sheds bright light in a 10-foot radius and dim light for an additional 10 feet.","","",Nightmare
amorphous,"The jelly can move through a space as narrow as 1 inch wide without squeezing.","","","Ochre Jelly"
spider_climb,"The jelly can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.","","","Ochre Jelly"
hold_breath,"While out of water, the octopus can hold its breath for 30 minutes.","","",Octopus
underwater_camouflage,"The octopus has advantage on Dexterity (Stealth) checks made while underwater.","","",Octopus
water_breathing,"The octopus can breathe only underwater.","","",Octopus
undead_fortitude,"If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5 + the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.","","","Ogre Zombie"
innate_spellcasting,"The oni's innate spellcasting ability is Charisma (spell save DC 13). The oni can innately cast the following spells, requiring no material components: At will: **_darkness, invisibility_** 1/day each: **_charm person, cone of cold, gaseous form, sleep_**","","",Oni
magic_weapons,"The oni's weapon attacks are magical.","","",Oni
regeneration,"The oni regains 10 hit points at the start of its turn if it has at least 1 hit point.","","",Oni
aggressive,". As a bonus action, the orc can move up to its speed toward a hostile creature that it can see.","","",Orc
limited_telepathy,"The otyugh can magically transmit simple messages and images to any creature within 120 feet of it that can understand a language. This form of telepathy doesn't allow the receiving creature to telepathically respond.","","",Otyugh
flyby,"The owl doesn't provoke opportunity attacks when it flies out of an enemy's reach.","","",Owl
keen_hearing_and_sight,"The owl has advantage on Wisdom (Perception) checks that rely on hearing or sight.","","",Owl
keen_sight_and_smell,"The owlbear has advantage on Wisdom (Perception) checks that rely on sight or smell.","","",Owlbear
keen_smell,"The panther has advantage on Wisdom (Perception) checks that rely on smell.","","",Panther
pounce,"If the panther moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 12 Strength saving throw or be knocked prone. If the target is prone, the panther can make one bite attack against it as a bonus action.","","",Panther
ethereal_jaunt,"As a bonus action, the spider can magically shift from the Material Plane to the Ethereal Plane, or vice versa.","","","Phase Spider"
spider_climb,"The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.","","","Phase Spider"
web_walker,"The spider ignores movement restrictions caused by webbing.","","","Phase Spider"
